1,240$k,240$o
280005269,Excerpts,Arr
280005265,Excerpts,Arr
450056273,Excerpts,Arr
450303501,Excerpts,Arr
450303500,Excerpts,Arr
280002330,Excerpts,Arr
280005027,Excerpts,Arr
450000680,Excerpts,Arr
450119841,Excerpts,Arr
452516147,Excerpts,Arr
453010926,Excerpts,Arr
455002632,Excerpts,Arr
452516033,Excerpts,Arr
453008310,Excerpts,Arr
455004763,Excerpts,Arr
703003140,Excerpts,Arr
703003141,Excerpts,Arr
450117911,Excerpts,Arr
201002683,Excerpts,Arr
451512302,Excerpts,Arr
702003423,Excerpts,Arr
450200597,Excerpts,Arr
451512303,Excerpts,Arr
280005300,Excerpts,Arr
450106135,Excerpts,Arr
450117909,Excerpts,Arr
280005298,Excerpts,Arr
280005299,Excerpts,Arr
201001751,Excerpts,Arr
280002331,Excerpts,Arr
300033661,Excerpts,Arr
301009354,Excerpts,Arr
450038367,Excerpts,Arr
450117886,Excerpts,Arr
450117887,Excerpts,Arr
450117888,Excerpts,Arr
450117889,Excerpts,Arr
450119708,Excerpts,Arr
452516085,Excerpts,Arr
452516088,Excerpts,Arr
452516089,Excerpts,Arr
455002563,Excerpts,Arr
250012009,Excerpts,Arr
450023693,Excerpts,Arr
451508101,Excerpts,Arr
456016295,Excerpts,Arr
456016789,Excerpts,Arr
456016790,Excerpts,Arr
550508115,Excerpts,Arr
550508207,Excerpts,Arr
650003340,Excerpts,Arr
702011006,Excerpts,Arr
852035901,Excerpts,Arr
1001011609,Excerpts,Arr
650011603,Excerpts,Arr
455003388,Excerpts,Arr
455007933,Excerpts,Arr
301009623,Excerpts,Arr
451503400,Excerpts,Arr
450200595,Excerpts,Arr
454001471,Excerpts,Arr
455003384,Excerpts,Arr
450062988,Excerpts,Arr
450062989,Excerpts,Arr
450105690,Excerpts,Arr
451508112,Excerpts,Arr
455040582,Excerpts,Arr
455040587,Excerpts,Arr
456005493,Excerpts,Arr
553004383,Excerpts,Arr
451503401,Excerpts,Arr
250013286,Excerpts,Arr
450117952,Excerpts,Arr
452500544,Excerpts,Arr
452500545,Excerpts,Arr
454016693,Excerpts,Arr
600658731,Excerpts,Arr
453010083,Excerpts,Arr
650003359,Excerpts,Arr
301009617,Excerpts,Arr
450018273,Excerpts,Arr
450065832,Excerpts,Arr
450118105,Excerpts,Arr
451025481,Excerpts,Arr
452504972,Excerpts,Arr
452509214,Excerpts,Arr
455003767,Excerpts,Arr
455004812,Excerpts,Arr
455032099,Excerpts,Arr
455037956,Excerpts,Arr
455003634,Excerpts,Arr
650011563,Excerpts,Arr
450065831,Excerpts,Arr
455004810,Excerpts,Arr
450059846,Excerpts,Arr
201002714,Excerpts,Arr
201010388,Excerpts,Arr
250012331,Excerpts,Arr
301009605,Excerpts,Arr
350000886,Excerpts,Arr
450062990,Excerpts,Arr
451507746,Excerpts,Arr
452500543,Excerpts,Arr
453600464,Excerpts,Arr
454013187,Excerpts,Arr
454501067,Excerpts,Arr
455003383,Excerpts,Arr
455004839,Excerpts,Arr
455008468,Excerpts,Arr
455040583,Excerpts,Arr
456005541,Excerpts,Arr
550506765,Excerpts,Arr
650014324,Excerpts,Arr
700008657,Excerpts,Arr
850509127,Excerpts,Arr
452001535,Excerpts,Arr
452509252,Excerpts,Arr
455001962,Excerpts,Arr
455003735,Excerpts,Arr
850041404,Excerpts,Arr
280005301,Excerpts,Arr
280005304,Excerpts,Arr
450102810,Excerpts,Arr
280005302,Excerpts,Arr
450102824,Excerpts,Arr
450300587,Excerpts,Arr
455002560,Excerpts,Arr
270002711,Excerpts,Arr
230009781,Excerpts,Arr
201008812,Excerpts,Arr
230009777,Excerpts,Arr
450105900,Excerpts,Arr
455002561,Excerpts,Arr
454013186,Excerpts,Arr
451508091,Excerpts,Arr
456016298,Excerpts,Arr
600171474,Excerpts,Arr
450035072,Excerpts,Arr
280002232,Excerpts,Arr
280004016,Excerpts,Arr
280004934,Excerpts,Arr
280005006,Excerpts,Arr
280005577,Excerpts,Arr
450035075,Excerpts,Arr
450105884,Excerpts,Arr
450118821,Excerpts,Arr
450119633,Excerpts,Arr
451512243,Excerpts,Arr
452516099,Excerpts,Arr
452516103,Excerpts,Arr
452516119,Excerpts,Arr
455002559,Excerpts,Arr
456016302,Excerpts,Arr
852028436,Excerpts,Arr
852028438,Excerpts,Arr
852028467,Excerpts,Arr
450062999,Excerpts,Arr
455042167,Excerpts,Arr
301004253,Excerpts,Arr
201010393,Excerpts,Arr
454013185,Excerpts,Arr
451512244,Excerpts,Arr
280004341,Excerpts,Arr
452515840,Excerpts,Arr
452516114,Excerpts,Arr
201001787,Excerpts,Arr
450019155,Excerpts,Arr
451512315,Excerpts,Arr
452516110,Excerpts,Arr
451512321,Excerpts,Arr
450119891,Excerpts,Arr
453011095,Excerpts,Arr
280002231,Excerpts,Arr
456004365,Excerpts,Arr
456004364,Excerpts,Arr
280004026,Excerpts,Arr
280004034,Excerpts,Arr
280005038,Excerpts,Arr
280005588,Excerpts,Arr
280005602,Excerpts,Arr
450118269,Excerpts,Arr
450118270,Excerpts,Arr
450119638,Excerpts,Arr
450023692,Excerpts,Arr
451512323,Excerpts,Arr
650014081,Excerpts,Arr
700001222,Excerpts,Arr
450118253,Excerpts,Arr
456004363,Excerpts,Arr
270002708,Excerpts,Arr
456004366,Excerpts,Arr
201004988,Excerpts,Arr
450200598,Excerpts,Arr
451512326,Excerpts,Arr
201011448,Excerpts,Arr
280002359,Excerpts,Arr
280006654,Excerpts,Arr
280006300,Excerpts,Arr
452516163,Excerpts,Arr
550508345,Excerpts,Arr
453600493,Excerpts,Arr
451502025,Excerpts,Arr
270002709,Excerpts,Arr
301001847,Excerpts,Arr
450056193,Excerpts,Arr
450118410,Excerpts,Arr
201001785,Excerpts,Arr
450059836,Excerpts,Arr
451512341,Excerpts,Arr
450062378,Excerpts,Arr
450065890,Excerpts,Arr
702003103,Excerpts,Arr
280006663,Excerpts,Arr
220018882,Excerpts,Arr
280005175,Excerpts,Arr
280006422,Excerpts,Arr
456004324,Excerpts,Arr
456004405,Excerpts,Arr
456004406,Excerpts,Arr
456004575,Excerpts,Arr
550503226,Excerpts,Arr
450023694,Excerpts,Arr
451502027,Excerpts,Arr
456016301,Excerpts,Arr
453600475,Excerpts,Arr
270002710,Excerpts,Arr
454001488,Excerpts,Arr
454001489,Excerpts,Arr
450059841,Excerpts,Arr
280004743,Excerpts,Arr
456005514,Excerpts,Arr
454001468,Excerpts,Arr
456004574,Excerpts,Arr
301009642,Excerpts,Arr
301009646,Excerpts,Arr
450118499,Excerpts,Arr
450118500,Excerpts,Arr
453005362,Excerpts,Arr
454011138,Excerpts,Arr
456005510,Excerpts,Arr
456005567,Excerpts,Arr
454001485,Excerpts,Arr
456004612,Excerpts,Arr
301009643,Excerpts,Arr
456004616,Excerpts,Arr
453600443,Excerpts,Arr
456016300,Excerpts,Arr
250013862,Excerpts,Arr
270001680,Excerpts,Arr
280006535,Excerpts,Arr
301009644,Excerpts,Arr
456004490,Excerpts,Arr
451507886,Excerpts,Arr
451507888,Excerpts,Arr
453010579,Excerpts,Arr
454001487,Excerpts,Arr
456004480,Excerpts,Arr
301009645,Excerpts,Arr
301009647,Excerpts,Arr
454001474,Excerpts,Arr
270001689,Excerpts,Arr
450019136,Excerpts,Arr
450019137,Excerpts,Arr
450105895,Excerpts,Arr
450117939,Excerpts,Arr
451011838,Excerpts,Arr
452512489,Excerpts,Arr
452516143,Excerpts,Arr
550400696,Excerpts,Arr
550400697,Excerpts,Arr
553003577,Excerpts,Arr
553005307,Excerpts,Arr
453010590,Excerpts,Arr
454001484,Excerpts,Arr
201002688,Excerpts,Arr
230009761,Excerpts,Arr
250016013,Excerpts,Arr
455040571,Excerpts,Arr
553005306,Excerpts,Arr
450117962,Excerpts,Arr
451009835,Excerpts,Arr
455040570,Excerpts,Arr
451009841,Excerpts,Arr
455040572,Excerpts,Arr
553005316,Excerpts,Arr
450062982,Excerpts,Arr
250010253,Excerpts,Arr
280005303,Excerpts,Arr
450119385,Excerpts,Arr
450057074,Excerpts,Arr
200022119,Excerpts,Arr
211004377,Excerpts,Arr
450064052,Excerpts,Arr
190025144,Excerpts,Arr
450025313,Excerpts,Arr
453013077,Excerpts,Arr
453450009,Excerpts,Arr
300043104,Excerpts,Arr
650006806,Excerpts,Arr
854004614,Excerpts,Arr
450062467,Excerpts,Arr
500500566,Excerpts,Arr
500185477,Excerpts,Arr
550401643,Excerpts,Arr
850008166,Excerpts,Arr
854005440,Excerpts,Arr
854004615,Excerpts,Arr
450034875,Excerpts,Arr
852031751,Excerpts,Arr
185514,Excerpts,Arr
450022543,Excerpts,Arr
500230586,Excerpts,Arr
220032616,Excerpts,Arr
127289,Excerpts,Arr
450017875,Excerpts,Arr
450010337,Excerpts,Arr
851002206,Excerpts,Arr
450010348,Excerpts,Arr
190022660,Excerpts,Arr
302002391,Excerpts,Arr
703003838,Excerpts,Arr
160000277,Excerpts,Arr
500230741,Excerpts,Arr
500500511,Excerpts,Arr
220032608,Excerpts,Arr
706001654,Excerpts,Arr
220032613,Excerpts,Arr
220032611,Excerpts,Arr
190022661,Excerpts,Arr
450102762,Excerpts,Arr
551004246,Excerpts,Arr
553004182,Excerpts,Arr
850023861,Excerpts,Arr
852016027,Excerpts,Arr
853001656,Excerpts,Arr
185521,Excerpts,Arr
220032609,Excerpts,Arr
190022662,Excerpts,Arr
220032612,Excerpts,Arr
190022658,Excerpts,Arr
500185497,Excerpts,Arr
106953,Excerpts,Arr
114893,Excerpts,Arr
116986,Excerpts,Arr
127307,Excerpts,Arr
806612207,Excerpts,Arr
900000466,Excerpts,Arr
900004424,Excerpts,Arr
806519145,Excerpts,Arr
450018352,Excerpts,Arr
850023803,Excerpts,Arr
850023862,Excerpts,Arr
853001653,Excerpts,Arr
128013,Excerpts,Arr
450017865,Excerpts,Arr
850014850,Excerpts,Arr
850023863,Excerpts,Arr
853001655,Excerpts,Arr
551004250,Excerpts,Arr
301000882,Excerpts,Arr
185519,Excerpts,Arr
551004252,Excerpts,Arr
220032559,Excerpts,Arr
220032558,Excerpts,Arr
220032575,Excerpts,Arr
128011,Excerpts,Arr
455017988,Excerpts,Arr
211010094,Excerpts,Arr
550401628,Excerpts,Arr
450034876,Excerpts,Arr
450018017,Excerpts,Arr
190025278,Excerpts,Arr
450018016,Excerpts,Arr
450018010,Excerpts,Arr
185513,Excerpts,Arr
850006450,Excerpts,Arr
500500567,Excerpts,Arr
530003576,Excerpts,Arr
450025909,Excerpts,Arr
450019940,Excerpts,Arr
500500514,Excerpts,Arr
450025912,Excerpts,Arr
530011104,Excerpts,Arr
240009450,Excerpts,Arr
451011701,Excerpts,Arr
704001102,Excerpts,Arr
220032570,Excerpts,Arr
240009451,Excerpts,Arr
850014856,Excerpts,Arr
220032568,Excerpts,Arr
220033485,Excerpts,Arr
220036887,Excerpts,Arr
230003125,Excerpts,Arr
230004433,Excerpts,Arr
230004594,Excerpts,Arr
452012322,Excerpts,Arr
453000859,Excerpts,Arr
124584,Excerpts,Arr
116664,Excerpts,Arr
160000352,Excerpts,Arr
190004255,Excerpts,Arr
190022654,Excerpts,Arr
450025908,Excerpts,Arr
450018347,Excerpts,Arr
211010095,Excerpts,Arr
220032554,Excerpts,Arr
550401630,Excerpts,Arr
220032572,Excerpts,Arr
500185498,Excerpts,Arr
450025911,Excerpts,Arr
220032553,Excerpts,Arr
220032614,Excerpts,Arr
160000284,Excerpts,Arr
211010100,Excerpts,Arr
220032563,Excerpts,Arr
240003577,Excerpts,Arr
190022659,Excerpts,Arr
302002390,Excerpts,Arr
450058726,Excerpts,Arr
530003583,Excerpts,Arr
1001069902,Excerpts,Arr
450025906,Excerpts,Arr
450018350,Excerpts,Arr
230006415,Excerpts,Arr
220032560,Excerpts,Arr
220032556,Excerpts,Arr
500027507,Excerpts,Arr
190022564,Excerpts,Arr
190022664,Excerpts,Arr
190025281,Excerpts,Arr
211010093,Excerpts,Arr
455017987,Excerpts,Arr
500052965,Excerpts,Arr
500185475,Excerpts,Arr
550401627,Excerpts,Arr
600077428,Excerpts,Arr
650006951,Excerpts,Arr
850014843,Excerpts,Arr
302002395,Excerpts,Arr
452012673,Excerpts,Arr
455011873,Excerpts,Arr
455018031,Excerpts,Arr
500185495,Excerpts,Arr
500185511,Excerpts,Arr
