ACNR,TITEL,AUTOR,LIBRETTIST,JAHR,BARCODE,SIGNATUR,IMAGES,LINK_ALMA,LINK_ASTOR,
AC14257888,"Cantata ""Chi è costei, che oltre l'usato ingombra""","Arrigoni, Carlo","Cavalli, ...",1737,+Z104697404,Mus.Hs.17594,44,https://data.onb.ac.at/rec/AC14257888,https://data.onb.ac.at/dtl/4510307,
AC14257889,Allegorica,"Arrigoni, Carlo",,1737,+Z104697301,Mus.Hs.17595,42,https://data.onb.ac.at/rec/AC14257889,https://data.onb.ac.at/dtl/4571311,
AC14258836,"Ercole, vincitore di Gerione","Badia, Carlo Agostino","Bernardoni, Pietro Antonio",1708,+Z190110800,Mus.Hs.17701,210,https://data.onb.ac.at/rec/AC14258836,https://data.onb.ac.at/dtl/9368313,
AC14258838,S. Geltrude,"Badia, Carlo Agostino","Filipeschi, Giovanni Domenico",1711,+Z283579902,Mus.Hs.17081,294,https://data.onb.ac.at/rec/AC14258838,https://data.onb.ac.at/rep/131F434A,
AC14258843,Ismaelle,"Badia, Carlo Agostino",,1717,+Z283578107,Mus.Hs.17056,391,https://data.onb.ac.at/rec/AC14258843,https://data.onb.ac.at/rep/131F3213,
AC14258846,Napoli ritornata a Romani,"Badia, Carlo Agostino","Stampiglia, Silvio",1707,+Z19011460X,Mus.Hs.17673,274,https://data.onb.ac.at/rec/AC14258846,https://data.onb.ac.at/dtl/9641403,
AC14258849,"La Pace, e Marte Supplicanti avanti al Trono della Gloria","Badia, Carlo Agostino","Filipeschi, Giovanni Domenico",[1701],+Z191197007,Mus.Hs.17725,94,https://data.onb.ac.at/rec/AC14258849,https://data.onb.ac.at/dtl/6141348,
AC14258853,Il profeta Elia,"Badia, Carlo Agostino","Zati, Gaetano",1730,+Z283579707,Mus.Hs.17065,463,https://data.onb.ac.at/rec/AC14258853,https://data.onb.ac.at/rep/131FC502,
AC14258856,Il Sacrificio di Berenice,"Badia, Carlo Agostino","Negro, Paol´Antonio del",1712,+Z190803209,Mus.Hs.17675,162,https://data.onb.ac.at/rec/AC14258856,https://data.onb.ac.at/dtl/6141539,
AC14258861,Dialogo da cantarsi nel ... ritorno da Praga delle ... maesta loro: ... Il bel Genio dell'Austria ed il Fato,"Badia, Carlo Agostino",,1723,+Z190106304,Mus.Hs.17625,140,https://data.onb.ac.at/rec/AC14258861,https://data.onb.ac.at/dtl/9213218,
AC14258887,Oratorio della Madonna de Sette Dolori,"Balbi, Ignazio",,[1720],+Z142639309,Mus.Hs.17084,322,https://data.onb.ac.at/rec/AC14258887,https://data.onb.ac.at/dtl/4968031,
AC14259992,"Zwei ""Requiem""","Bernabei, Giuseppe Antonio",,[ohne Jahresangabe],+Z291667800,Mus.Hs.16641,180,https://data.onb.ac.at/rec/AC14259992,https://data.onb.ac.at/rep/131E623B,
AC14259997,Sequentia in festo corporis Christi: Lauda Sion salvatorem,"Bernabei, Giuseppe Antonio",,1716,+Z291667903,Mus.Hs.16642,54,https://data.onb.ac.at/rec/AC14259997,https://data.onb.ac.at/rep/131E6238,
AC14260001,"Duo ""Stabat mater""","Bernabei, Giuseppe Antonio",,[ohne Jahresangabe],+Z232520304,Mus.Hs.16685,98,https://data.onb.ac.at/rec/AC14260001,https://data.onb.ac.at/dtl/6784042,
AC14260016,Trattenimento per camera,"Bernardi, Bartolomeo","Doretti, Dario",[ohne Jahresangabe],+Z190114507,Mus.Hs.17655,82,https://data.onb.ac.at/rec/AC14260016,https://data.onb.ac.at/dtl/9266577,
AC14260020,La Betulia liberata,"Bernasconi, Andrea","Metastasio, Pietro",[1738],+Z291689108,Mus.Hs.17085/1,403,https://data.onb.ac.at/rec/AC14260020,https://data.onb.ac.at/rep/131F74DA,
AC14260020,La Betulia liberata,"Bernasconi, Andrea","Metastasio, Pietro",[1738],+Z291689200,Mus.Hs.17085/2,300,https://data.onb.ac.at/rec/AC14260020,https://data.onb.ac.at/rep/131F74C5,
AC14260022,"""Flavio Anicio Olibrio","Bernasconi, Andrea","Zeno, Apostolo",1737,+Z213908107,Mus.Hs.18294/1,202,https://data.onb.ac.at/rec/AC14260022,https://data.onb.ac.at/rep/131BADB9,
AC14260022,"""Flavio Anicio Olibrio","Bernasconi, Andrea","Zeno, Apostolo",1737,+Z21390820X,Mus.Hs.18294/2,200,https://data.onb.ac.at/rec/AC14260022,https://data.onb.ac.at/rep/131BADB8,
AC14260022,"""Flavio Anicio Olibrio","Bernasconi, Andrea","Zeno, Apostolo",1737,+Z213929305,Mus.Hs.18294/3,164,https://data.onb.ac.at/rec/AC14260022,https://data.onb.ac.at/rep/131BADB7,
AC14261117,Alessandro Severo,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1737,+Z190194606,Mus.Hs.18304,326,https://data.onb.ac.at/rec/AC14261117,https://data.onb.ac.at/rep/131BADCA,
AC14261118,Amore insuperabile,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1736,+Z190108507,Mus.Hs.17623,154,https://data.onb.ac.at/rec/AC14261118,https://data.onb.ac.at/dtl/9263825,
AC14261120,Eleazarro,"Bonno, Giuseppe",,1739,+Z190848400,Mus.Hs.17054,434,https://data.onb.ac.at/rec/AC14261120,https://data.onb.ac.at/dtl/9674654,
AC14261122,La gara del Genio con Giunone,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1737,+Z19016660X,Mus.Hs.18276,332,https://data.onb.ac.at/rec/AC14261122,https://data.onb.ac.at/rep/131B3062,
AC14261123,La generosita di Artaserse,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1737,+Z190194102,Mus.Hs.18295,292,https://data.onb.ac.at/rec/AC14261123,https://data.onb.ac.at/rep/131BADCC,
AC14261128,Il natale di Numa Pompilio,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1739,+Z190166702,Mus.Hs.18292,302,https://data.onb.ac.at/rec/AC14261128,https://data.onb.ac.at/rep/131B3063,
AC14261129,Pastorale,"Bonno, Giuseppe",,1732,+Z19010180X,Mus.Hs.17584,118,https://data.onb.ac.at/rec/AC14261129,https://data.onb.ac.at/dtl/9131476,
AC14261130,La vera Nobiltà,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1739,+Z191130600,Mus.Hs.17599,106,https://data.onb.ac.at/rec/AC14261130,https://data.onb.ac.at/dtl/6836437,
AC14261131,Il nume d'Atene,"Bonno, Giuseppe",,1739,+Z190191101,Mus.Hs.18259,358,https://data.onb.ac.at/rec/AC14261131,https://data.onb.ac.at/rep/131B3065,
AC14261133,Il vero omaggio,"Bonno, Giuseppe","Metastasio, Pietro",1739,+Z190101604,Mus.Hs.17578,104,https://data.onb.ac.at/rec/AC14261133,https://data.onb.ac.at/dtl/9131714,
AC14261134,La pace richiamata,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1738,+Z190197401,Mus.Hs.18306,170,https://data.onb.ac.at/rec/AC14261134,https://data.onb.ac.at/rep/131BADC7,
AC14261135,La pieta di Numa,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1738,+Z190166507,Mus.Hs.18290,310,https://data.onb.ac.at/rec/AC14261135,https://data.onb.ac.at/rep/131B3061,
AC14261136,Colloquio amoroso fra Piramo e Tisbe,"Bonno, Giuseppe",,[ca. 1757],+Z190101707,Mus.Hs.17583,162,https://data.onb.ac.at/rec/AC14261136,https://data.onb.ac.at/dtl/9181384,
AC14261138,San Paolo in Atene,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1740,+Z283579604,Mus.Hs.17060,350,https://data.onb.ac.at/rec/AC14261138,https://data.onb.ac.at/rep/131F4F08,
AC14261139,La generosa Spartana,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1740,+Z190109408,Mus.Hs.18279,266,https://data.onb.ac.at/rec/AC14261139,https://data.onb.ac.at/dtl/9063837,
AC14261140,Trajano,"Bonno, Giuseppe","Pasquini, Giovanni Claudio",1736,+Z283579501,Mus.Hs.18289,303,https://data.onb.ac.at/rec/AC14261140,https://data.onb.ac.at/rep/131F82EE,
AC14261153,Alessandro in Sidone,"Bononcini, Giovanni","Zeno, Apostolo",1737,+Z190197206,Mus.Hs.18297/1,150,https://data.onb.ac.at/rec/AC14261153,https://data.onb.ac.at/rep/131BADC9,
AC14261153,Alessandro in Sidone,"Bononcini, Giovanni","Zeno, Apostolo",1737,+Z190198004,Mus.Hs.18297/2,126,https://data.onb.ac.at/rec/AC14261153,https://data.onb.ac.at/rep/131BADC6,
AC14261153,Alessandro in Sidone,"Bononcini, Giovanni","Zeno, Apostolo",1737,+Z190198107,Mus.Hs.18297/3,118,https://data.onb.ac.at/rec/AC14261153,https://data.onb.ac.at/rep/131BADC5,
AC14261153,Alessandro in Sidone,"Bononcini, Giovanni","Zeno, Apostolo",1737,+Z19019820X,Mus.Hs.18297/4,138,https://data.onb.ac.at/rec/AC14261153,https://data.onb.ac.at/rep/131BADC4,
AC14261153,Alessandro in Sidone,"Bononcini, Giovanni","Zeno, Apostolo",1737,+Z190198302,Mus.Hs.18297/5,122,https://data.onb.ac.at/rec/AC14261153,https://data.onb.ac.at/rep/131BADC3,
AC14261161,Ezechia,"Bononcini, Giovanni","Zeno, Apostolo",1737,+Z283580102,Mus.Hs.17062,346,https://data.onb.ac.at/rec/AC14261161,https://data.onb.ac.at/rep/131F7665,
AC14261174,Kantaten verschiedener Komponisten,"Bononcini, Giovanni",,[ohne Jahresangabe],+Z190102608,Mus.Hs.17576,212,https://data.onb.ac.at/rec/AC14261174,https://data.onb.ac.at/dtl/9262681,
AC14261178,La conquista del velo d'oro,"Bononcini, Antonio Maria",,1717,+Z190166404,Mus.Hs.18264/1,180,https://data.onb.ac.at/rec/AC14261178,https://data.onb.ac.at/rep/131ACFF7,
AC14261178,La conquista del velo d'oro,"Bononcini, Antonio Maria",,1717,+Z190166301,Mus.Hs.18264/2,144,https://data.onb.ac.at/rec/AC14261178,https://data.onb.ac.at/rep/131ACFF6,
AC14261178,La conquista del velo d'oro,"Bononcini, Antonio Maria",,1717,+Z190166209,Mus.Hs.18264/3,146,https://data.onb.ac.at/rec/AC14261178,https://data.onb.ac.at/rep/131ACFF5,
AC14261179,La conquista delle Spagne di Scipione Africano il giovane,"Bononcini, Antonio Maria","Nero, Don Paulo del",1717,+Z269993406,Mus.Hs.18275,182,https://data.onb.ac.at/rec/AC14261179,https://data.onb.ac.at/rep/131AD009,
AC14261182,L'interciso,"Bononcini, Antonio Maria","Stampiglia, Nunzio",1711,+Z28357980X,Mus.Hs.17073,196,https://data.onb.ac.at/rec/AC14261182,https://data.onb.ac.at/rep/131F766A,
AC14261186,Cantata,"Bononcini, Antonio Maria",,[ohne Jahresangabe],+Z190101100,Mus.Hs.17637,54,https://data.onb.ac.at/rec/AC14261186,https://data.onb.ac.at/dtl/9210738,
AC14262104,La Clemenza di Tito,"Caldara, Antonio","Metastasio, Pietro",1734,+Z23254140X,Mus.Hs.17109/1,190,https://data.onb.ac.at/rec/AC14262104,https://data.onb.ac.at/dtl/6837505,
AC14262104,La Clemenza di Tito,"Caldara, Antonio","Metastasio, Pietro",1734,+Z21395130X,Mus.Hs.17109/2,165,https://data.onb.ac.at/rec/AC14262104,https://data.onb.ac.at/dtl/7586609,
AC14262104,La Clemenza di Tito,"Caldara, Antonio","Metastasio, Pietro",1734,+Z213951402,Mus.Hs.17109/3,151,https://data.onb.ac.at/rec/AC14262104,https://data.onb.ac.at/dtl/7584407,
AC14262105,Componimento Drammatico Che introduce ad un Ballo,"Caldara, Antonio","Metastasio, Pietro",1735,+Z23250640X,Mus.Hs.17597,94,https://data.onb.ac.at/rec/AC14262105,https://data.onb.ac.at/dtl/6582600,
AC14262108,Cajo Marzio Coriolano,"Caldara, Antonio","Pariati, Pietro",1717,+Z190827007,Mus.Hs.18232/1,252,https://data.onb.ac.at/rec/AC14262108,https://data.onb.ac.at/rep/131B1011,
AC14262108,Cajo Marzio Coriolano,"Caldara, Antonio","Pariati, Pietro",1717,+Z190826908,Mus.Hs.18232/2,210,https://data.onb.ac.at/rec/AC14262108,https://data.onb.ac.at/rep/131B1010,
AC14262108,Cajo Marzio Coriolano,"Caldara, Antonio","Pariati, Pietro",1717,+Z190826805,Mus.Hs.18232/3,276,https://data.onb.ac.at/rec/AC14262108,https://data.onb.ac.at/rep/131B100F,
AC14262109,II Demetrio,"Caldara, Antonio","Metastasio, Pietro",1731,+Z190829703,Mus.Hs.17151/1,302,https://data.onb.ac.at/rec/AC14262109,https://data.onb.ac.at/dtl/8565744,
